task_id,language_full,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,question sentence,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,question code,choice_index,finish_reason,text,codex_language_phrase_1,codex_code_phrase_1,codex_language_phrase_2,codex_code_phrase_2,codex_language_phrase_3,codex_code_phrase_3
10," In Game 1, Gerald won against Terry. In Game 2, Gerald won against Terry. In Game 3, Gerald won against Terry."," In Game 1, Gerald won against Terry."," In Game 2, Gerald won against Terry."," In Game 3, Gerald won against Terry.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Terry?","condition(winner(['Terry'],['Gerald'],1) == 2);","condition(winner(['Terry'],['Gerald'],2) == 2);","condition(winner(['Terry'],['Gerald'],3) == 2);",,strength(Gerald),0,stop,"
//  In Game 1, Gerald won against Terry.
condition(winner(['Terry'],['Gerald'],1) == 2);

//  In Game 2, Gerald won against Terry.
condition(winner(['Terry'],['Gerald'],2) == 2);

//  In Game 3, Gerald won against Terry.
condition(winner(['Terry'],['Gerald'],3) == 2);

"," In Game 1, Gerald won against Terry.","condition(winner(['Terry'],['Gerald'],1) == 2);"," In Game 2, Gerald won against Terry.","condition(winner(['Terry'],['Gerald'],2) == 2);"," In Game 3, Gerald won against Terry.","condition(winner(['Terry'],['Gerald'],3) == 2);"
11," In Game 1, Samuel won against Keith. In Game 2, Willie won against Samuel. In Game 3, Ralph won against Samuel."," In Game 1, Samuel won against Keith."," In Game 2, Willie won against Samuel."," In Game 3, Ralph won against Samuel.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Keith?","condition(winner(['Keith'],['Samuel'],1) == 2);","condition(winner(['Samuel'],['Willie'],2) == 2);","condition(winner(['Samuel'],['Ralph'],3) == 2);",,strength(Samuel),0,stop,"
//  In Game 1, Samuel won against Keith.
condition(winner(['Samuel'],['Keith'],1) == 1);

//  In Game 2, Willie won against Samuel.
condition(winner(['Willie'],['Samuel'],2) == 1);

//  In Game 3, Ralph won against Samuel.
condition(winner(['Ralph'],['Samuel'],3) == 1);

"," In Game 1, Samuel won against Keith.","condition(winner(['Samuel'],['Keith'],1) == 1);"," In Game 2, Willie won against Samuel.","condition(winner(['Willie'],['Samuel'],2) == 1);"," In Game 3, Ralph won against Samuel.","condition(winner(['Ralph'],['Samuel'],3) == 1);"
12," In Game 1, Nicholas won against Lawrence. In Game 2, Nicholas won against Roy. In Game 3, Nicholas won against Benjamin."," In Game 1, Nicholas won against Lawrence."," In Game 2, Nicholas won against Roy."," In Game 3, Nicholas won against Benjamin.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Lawrence?","condition(winner(['Lawrence'],['Nicholas'],1) == 2);","condition(winner(['Nicholas'],['Roy'],2) == 1);","condition(winner(['Nicholas'],['Benjamin'],3) == 1);",,strength(Nicholas),0,stop,"
//  In Game 1, Nicholas won against Lawrence.
condition(winner(['Lawrence'],['Nicholas'],1) == 2);

//  In Game 2, Nicholas won against Roy.
condition(winner(['Roy'],['Nicholas'],2) == 2);

//  In Game 3, Nicholas won against Benjamin.
condition(winner(['Benjamin'],['Nicholas'],3) == 2);

"," In Game 1, Nicholas won against Lawrence.","condition(winner(['Lawrence'],['Nicholas'],1) == 2);"," In Game 2, Nicholas won against Roy.","condition(winner(['Roy'],['Nicholas'],2) == 2);"," In Game 3, Nicholas won against Benjamin.","condition(winner(['Benjamin'],['Nicholas'],3) == 2);"
13," In Game 1, Brandon won against Bruce. In Game 2, Adam won against Bruce. In Game 3, Harry won against Bruce."," In Game 1, Brandon won against Bruce."," In Game 2, Adam won against Bruce."," In Game 3, Harry won against Bruce.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Bruce?","condition(winner(['Bruce'],['Brandon'],1) == 2);","condition(winner(['Bruce'],['Adam'],2) == 2);","condition(winner(['Bruce'],['Harry'],3) == 2);",,strength(Brandon),0,stop,"
//  In Game 1, Brandon won against Bruce.
condition(winner(['Bruce'],['Brandon'],1) == 2);

//  In Game 2, Adam won against Bruce.
condition(winner(['Bruce'],['Adam'],2) == 2);

//  In Game 3, Harry won against Bruce.
condition(winner(['Bruce'],['Harry'],3) == 2);

"," In Game 1, Brandon won against Bruce.","condition(winner(['Bruce'],['Brandon'],1) == 2);"," In Game 2, Adam won against Bruce.","condition(winner(['Bruce'],['Adam'],2) == 2);"," In Game 3, Harry won against Bruce.","condition(winner(['Bruce'],['Harry'],3) == 2);"
14," In Game 1, a team of Billy and Steve won against a team of Fred and Wayne. In Game 2, a team of Louis and Jeremy won against a team of Fred and Wayne. In Game 3, a team of Aaron and Randy won against a team of Fred and Wayne."," In Game 1, a team of Billy and Steve won against a team of Fred and Wayne."," In Game 2, a team of Louis and Jeremy won against a team of Fred and Wayne."," In Game 3, a team of Aaron and Randy won against a team of Fred and Wayne.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Fred?","condition(winner(['Fred', 'Wayne'],['Billy', 'Steve'],1) == 2);","condition(winner(['Fred', 'Wayne'],['Louis', 'Jeremy'],2) == 2);","condition(winner(['Fred', 'Wayne'],['Aaron', 'Randy'],3) == 2);",,strength(Wayne),0,stop,"
//  In Game 1, a team of Billy and Steve won against a team of Fred and Wayne.
condition(winner(['Billy', 'Steve'],['Fred', 'Wayne'],1) == 1);

//  In Game 2, a team of Louis and Jeremy won against a team of Fred and Wayne.
condition(winner(['Louis', 'Jeremy'],['Fred', 'Wayne'],2) == 1);

//  In Game 3, a team of Aaron and Randy won against a team of Fred and Wayne.
condition(winner(['Aaron', 'Randy'],['Fred', 'Wayne'],3) == 1);

"," In Game 1, a team of Billy and Steve won against a team of Fred and Wayne.","condition(winner(['Billy', 'Steve'],['Fred', 'Wayne'],1) == 1);"," In Game 2, a team of Louis and Jeremy won against a team of Fred and Wayne.","condition(winner(['Louis', 'Jeremy'],['Fred', 'Wayne'],2) == 1);"," In Game 3, a team of Aaron and Randy won against a team of Fred and Wayne.","condition(winner(['Aaron', 'Randy'],['Fred', 'Wayne'],3) == 1);"
15," In Game 1, a team of Bobby and Victor won against a team of Howard and Eugene. In Game 2, a team of Bobby and Martin won against a team of Howard and Carlos. In Game 3, a team of Bobby and Ernest won against a team of Howard and Russell."," In Game 1, a team of Bobby and Victor won against a team of Howard and Eugene."," In Game 2, a team of Bobby and Martin won against a team of Howard and Carlos."," In Game 3, a team of Bobby and Ernest won against a team of Howard and Russell.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Howard?","condition(winner(['Howard', 'Eugene'],['Bobby', 'Victor'],1) == 2);","condition(winner(['Howard', 'Carlos'],['Bobby', 'Martin'],2) == 2);","condition(winner(['Howard', 'Russell'],['Bobby', 'Ernest'],3) == 2);",,strength(Eugene),0,stop,"
//  In Game 1, a team of Bobby and Victor won against a team of Howard and Eugene.
condition(winner(['Bobby', 'Victor'],['Howard', 'Eugene'],1) == 1);

//  In Game 2, a team of Bobby and Martin won against a team of Howard and Carlos.
condition(winner(['Bobby', 'Martin'],['Howard', 'Carlos'],2) == 1);

//  In Game 3, a team of Bobby and Ernest won against a team of Howard and Russell.
condition(winner(['Bobby', 'Ernest'],['Howard', 'Russell'],3) == 1);

"," In Game 1, a team of Bobby and Victor won against a team of Howard and Eugene.","condition(winner(['Bobby', 'Victor'],['Howard', 'Eugene'],1) == 1);"," In Game 2, a team of Bobby and Martin won against a team of Howard and Carlos.","condition(winner(['Bobby', 'Martin'],['Howard', 'Carlos'],2) == 1);"," In Game 3, a team of Bobby and Ernest won against a team of Howard and Russell.","condition(winner(['Bobby', 'Ernest'],['Howard', 'Russell'],3) == 1);"
16," In Game 1, a team of Alan and Shawn won against a team of Phillip and Todd. In Game 2, a team of Todd and Jesse won against a team of Alan and Shawn. In Game 3, a team of Todd and Craig won against a team of Alan and Shawn."," In Game 1, a team of Alan and Shawn won against a team of Phillip and Todd."," In Game 2, a team of Todd and Jesse won against a team of Alan and Shawn."," In Game 3, a team of Todd and Craig won against a team of Alan and Shawn.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Phillip?","condition(winner(['Phillip', 'Todd'],['Alan', 'Shawn'],1) == 2);","condition(winner(['Todd', 'Jesse'],['Alan', 'Shawn'],2) == 1);","condition(winner(['Todd', 'Craig'],['Alan', 'Shawn'],3) == 1);",,strength(Todd),0,stop,"
//  In Game 1, a team of Alan and Shawn won against a team of Phillip and Todd.
condition(winner(['Alan', 'Shawn'],['Phillip', 'Todd'],1) == 1);

//  In Game 2, a team of Todd and Jesse won against a team of Alan and Shawn.
condition(winner(['Todd', 'Jesse'],['Alan', 'Shawn'],2) == 1);

//  In Game 3, a team of Todd and Craig won against a team of Alan and Shawn.
condition(winner(['Todd', 'Craig'],['Alan', 'Shawn'],3) == 1);

"," In Game 1, a team of Alan and Shawn won against a team of Phillip and Todd.","condition(winner(['Alan', 'Shawn'],['Phillip', 'Todd'],1) == 1);"," In Game 2, a team of Todd and Jesse won against a team of Alan and Shawn.","condition(winner(['Todd', 'Jesse'],['Alan', 'Shawn'],2) == 1);"," In Game 3, a team of Todd and Craig won against a team of Alan and Shawn.","condition(winner(['Todd', 'Craig'],['Alan', 'Shawn'],3) == 1);"
17," In Game 1, a team of Johnny and Earl won against a team of Clarence and Sean. In Game 2, a team of Johnny and Earl won against a team of Sean and Philip. In Game 3, a team of Johnny and Earl won against a team of Sean and Chris."," In Game 1, a team of Johnny and Earl won against a team of Clarence and Sean."," In Game 2, a team of Johnny and Earl won against a team of Sean and Philip."," In Game 3, a team of Johnny and Earl won against a team of Sean and Chris.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Clarence?","condition(winner(['Clarence', 'Sean'],['Johnny', 'Earl'],1) == 2);","condition(winner(['Sean', 'Philip'],['Johnny', 'Earl'],2) == 2);","condition(winner(['Sean', 'Chris'],['Johnny', 'Earl'],3) == 2);",,strength(Sean),0,stop,"
//  In Game 1, a team of Johnny and Earl won against a team of Clarence and Sean.
condition(winner(['Johnny', 'Earl'],['Clarence', 'Sean'],1) == 1);

//  In Game 2, a team of Johnny and Earl won against a team of Sean and Philip.
condition(winner(['Johnny', 'Earl'],['Sean', 'Philip'],2) == 1);

//  In Game 3, a team of Johnny and Earl won against a team of Sean and Chris.
condition(winner(['Johnny', 'Earl'],['Sean', 'Chris'],3) == 1);

"," In Game 1, a team of Johnny and Earl won against a team of Clarence and Sean.","condition(winner(['Johnny', 'Earl'],['Clarence', 'Sean'],1) == 1);"," In Game 2, a team of Johnny and Earl won against a team of Sean and Philip.","condition(winner(['Johnny', 'Earl'],['Sean', 'Philip'],2) == 1);"," In Game 3, a team of Johnny and Earl won against a team of Sean and Chris.","condition(winner(['Johnny', 'Earl'],['Sean', 'Chris'],3) == 1);"
18," In Game 1, a team of Tony and Luis won against a team of Jimmy and Antonio. In Game 2, a team of Mike and Stanley won against a team of Jimmy and Danny. In Game 3, a team of Leonard and Nathan won against a team of Jimmy and Bryan."," In Game 1, a team of Tony and Luis won against a team of Jimmy and Antonio."," In Game 2, a team of Mike and Stanley won against a team of Jimmy and Danny."," In Game 3, a team of Leonard and Nathan won against a team of Jimmy and Bryan.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Jimmy?","condition(winner(['Jimmy', 'Antonio'],['Tony', 'Luis'],1) == 2);","condition(winner(['Jimmy', 'Danny'],['Mike', 'Stanley'],2) == 2);","condition(winner(['Jimmy', 'Bryan'],['Leonard', 'Nathan'],3) == 2);",,strength(Antonio),0,stop,"
//  In Game 1, a team of Tony and Luis won against a team of Jimmy and Antonio.
condition(winner(['Tony', 'Luis'],['Jimmy', 'Antonio'],1) == 1);

//  In Game 2, a team of Mike and Stanley won against a team of Jimmy and Danny.
condition(winner(['Mike', 'Stanley'],['Jimmy', 'Danny'],2) == 1);

//  In Game 3, a team of Leonard and Nathan won against a team of Jimmy and Bryan.
condition(winner(['Leonard', 'Nathan'],['Jimmy', 'Bryan'],3) == 1);

"," In Game 1, a team of Tony and Luis won against a team of Jimmy and Antonio.","condition(winner(['Tony', 'Luis'],['Jimmy', 'Antonio'],1) == 1);"," In Game 2, a team of Mike and Stanley won against a team of Jimmy and Danny.","condition(winner(['Mike', 'Stanley'],['Jimmy', 'Danny'],2) == 1);"," In Game 3, a team of Leonard and Nathan won against a team of Jimmy and Bryan.","condition(winner(['Leonard', 'Nathan'],['Jimmy', 'Bryan'],3) == 1);"
19," In Game 1, a team of Rodney and Curtis won against a team of Dale and Manuel. In Game 2, a team of Manuel and Curtis won against a team of Dale and Rodney. In Game 3, a team of Manuel and Rodney won against a team of Dale and Curtis."," In Game 1, a team of Rodney and Curtis won against a team of Dale and Manuel."," In Game 2, a team of Manuel and Curtis won against a team of Dale and Rodney."," In Game 3, a team of Manuel and Rodney won against a team of Dale and Curtis.",,"Question: On a scale from 0 (very weak) to 100 (very strong), how strong is Dale?","condition(winner(['Dale', 'Manuel'],['Rodney', 'Curtis'],1) == 2);","condition(winner(['Dale', 'Rodney'],['Manuel', 'Curtis'],2) == 2);","condition(winner(['Dale', 'Curtis'],['Manuel', 'Rodney'],3) == 2);",,strength(Manuel),0,stop,"
//  In Game 1, a team of Rodney and Curtis won against a team of Dale and Manuel.
condition(winner(['Rodney', 'Curtis'],['Dale', 'Manuel'],1) == 1);

//  In Game 2, a team of Manuel and Curtis won against a team of Dale and Rodney.
condition(winner(['Manuel', 'Curtis'],['Dale', 'Rodney'],2) == 1);

//  In Game 3, a team of Manuel and Rodney won against a team of Dale and Curtis.
condition(winner(['Manuel', 'Rodney'],['Dale', 'Curtis'],3) == 1);

"," In Game 1, a team of Rodney and Curtis won against a team of Dale and Manuel.","condition(winner(['Rodney', 'Curtis'],['Dale', 'Manuel'],1) == 1);"," In Game 2, a team of Manuel and Curtis won against a team of Dale and Rodney.","condition(winner(['Manuel', 'Curtis'],['Dale', 'Rodney'],2) == 1);"," In Game 3, a team of Manuel and Rodney won against a team of Dale and Curtis.","condition(winner(['Manuel', 'Rodney'],['Dale', 'Curtis'],3) == 1);"
